Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit Name,Ad Unit ID
,ENTERTAINMENT,Section,Leaderboard,728 x 90,ENTERTAINMENT | Section,14049,ENTERTAINMENT | Section | Leaderboard | 728 x 90,322880
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | Section | Leaderboard | 320 x 50,322881
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | Section | Medium Rectangle 1 | 300 x 250,322882
,,,Medium Rectangle 2,300 x 250,,,ENTERTAINMENT | Section | Medium Rectangle 2 | 300 x 250,322883
,,Story,Leaderboard,728 x 90,ENTERTAINMENT | Story,14050,ENTERTAINMENT | Story | Leaderboard | 728 x 90,322884
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | Story | Leaderboard | 320 x 50,322885
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | Story | Medium Rectangle 1 | 300 x 250,322886
,,,,,,,,
ENTERTAINMENT,Arts,Section,Leaderboard,728 x 90,ENTERTAINMENT | Arts | Section,14051,ENTERTAINMENT | Arts | Section | Leaderboard | 728 x 90,322887
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | Arts | Section | Leaderboard | 320 x 50,322888
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | Arts | Section | Medium Rectangle 1 | 300 x 250,322889
,,,Medium Rectangle 2,300 x 250,,,ENTERTAINMENT | Arts | Section | Medium Rectangle 2 | 300 x 250,322890
,,Story,Leaderboard,728 x 90,ENTERTAINMENT | Arts | Story,14052,ENTERTAINMENT | Arts | Story | Leaderboard | 728 x 90,322891
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | Arts | Story | Leaderboard | 320 x 50,322892
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | Arts | Story | Medium Rectangle 1 | 300 x 250,322893
,,,,,,,,
ENTERTAINMENT,Encore,Section,Leaderboard,728 x 90,ENTERTAINMENT | Encore | Section,14053,ENTERTAINMENT | Encore | Section | Leaderboard | 728 x 90,322894
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | Encore | Section | Leaderboard | 320 x 50,322895
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | Encore | Section | Medium Rectangle 1 | 300 x 250,322896
,,,Medium Rectangle 2,300 x 250,,,ENTERTAINMENT | Encore | Section | Medium Rectangle 2 | 300 x 250,322897
,,Story,Leaderboard,728 x 90,ENTERTAINMENT | Encore | Story,14054,ENTERTAINMENT | Encore | Story | Leaderboard | 728 x 90,322898
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | Encore | Story | Leaderboard | 320 x 50,322899
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | Encore | Story | Medium Rectangle 1 | 300 x 250,322900
,,,,,,,,
ENTERTAINMENT,go Entertainment,Section,Leaderboard,728 x 90,ENTERTAINMENT | go Entertainment | Section,14055,ENTERTAINMENT | go Entertainment | Section | Leaderboard | 728 x 90,322986
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | go Entertainment | Section | Leaderboard | 320 x 50,322987
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | go Entertainment | Section | Medium Rectangle 1 | 300 x 250,322988
,,,Medium Rectangle 2,300 x 250,,,ENTERTAINMENT | go Entertainment | Section | Medium Rectangle 2 | 300 x 250,322989
,,Story,Leaderboard,728 x 90,ENTERTAINMENT | go Entertainment | Story,14056,ENTERTAINMENT | go Entertainment | Story | Leaderboard | 728 x 90,322990
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | go Entertainment | Story | Leaderboard | 320 x 50,322991
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | go Entertainment | Story | Medium Rectangle 1 | 300 x 250,322992
,,,,,,,,
ENTERTAINMENT,TV Listings,Section,Leaderboard,728 x 90,ENTERTAINMENT | TV Listings | Section,14057,ENTERTAINMENT | TV Listings | Section | Leaderboard | 728 x 90,322993
,,,Leaderboard,320 x 50,,,ENTERTAINMENT | TV Listings | Section | Leaderboard | 320 x 50,322994
,,,Medium Rectangle 1,300 x 250,,,ENTERTAINMENT | TV Listings | Section | Medium Rectangle 1 | 300 x 250,322995
,,,Medium Rectangle 2,300 x 250,,,ENTERTAINMENT | TV Listings | Section | Medium Rectangle 2 | 300 x 250,322996
,,Story,Leaderboard,728 x 90,ENTERTAINMENT | TV Listings | Story,14058,ENTERTAINMENT | TV Listings | Story | Leaderboard | 728 x 90,322997
