Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit Name,Ad Unit ID
,LIFE,Section,Leaderboard,728 x 90,LIFE | Section,14061,LIFE | Section | Leaderboard | 728 x 90,323023
,,,Leaderboard,320 x 50,,,LIFE | Section | Leaderboard | 320 x 50,323024
,,,Medium Rectangle 1,300 x 250,,,LIFE | Section | Medium Rectangle 1 | 300 x 250,323025
,,,Medium Rectangle 2,300 x 250,,,LIFE | Section | Medium Rectangle 2 | 300 x 250,323026
,,Story,Leaderboard,728 x 90,LIFE | Story,14062,LIFE | Story | Leaderboard | 728 x 90,323027
,,,Leaderboard,320 x 50,,,LIFE | Story | Leaderboard | 320 x 50,323028
,,,Medium Rectangle 1,300 x 250,,,LIFE | Story | Medium Rectangle 1 | 300 x 250,323029
,,,,,,,,
LIFE,Dash,Section,Leaderboard,728 x 90,LIFE | Dash | Section,14063,LIFE | Dash | Section | Leaderboard | 728 x 90,323035
,,,Leaderboard,320 x 50,,,LIFE | Dash | Section | Leaderboard | 320 x 50,323037
,,,Medium Rectangle 1,300 x 250,,,LIFE | Dash | Section | Medium Rectangle 1 | 300 x 250,323038
,,,Medium Rectangle 2,300 x 250,,,LIFE | Dash | Section | Medium Rectangle 2 | 300 x 250,323039
,,Story,Leaderboard,728 x 90,LIFE | Dash | Story,14064,LIFE | Dash | Story | Leaderboard | 728 x 90,323040
,,,Leaderboard,320 x 50,,,LIFE | Dash | Story | Leaderboard | 320 x 50,323041
,,,Medium Rectangle 1,300 x 250,,,LIFE | Dash | Story | Medium Rectangle 1 | 300 x 250,323042
,,,,,,,,
LIFE,Discovery,Section,Leaderboard,728 x 90,LIFE | Discovery | Section,14065,LIFE | Discovery | Section | Leaderboard | 728 x 90,323043
,,,Leaderboard,320 x 50,,,LIFE | Discovery | Section | Leaderboard | 320 x 50,323044
,,,Medium Rectangle 1,300 x 250,,,LIFE | Discovery | Section | Medium Rectangle 1 | 300 x 250,323045
,,,Medium Rectangle 2,300 x 250,,,LIFE | Discovery | Section | Medium Rectangle 2 | 300 x 250,323046
,,Story,Leaderboard,728 x 90,LIFE | Discovery | Story,14066,LIFE | Discovery | Story | Leaderboard | 728 x 90,323047
,,,Leaderboard,320 x 50,,,LIFE | Discovery | Story | Leaderboard | 320 x 50,323048
,,,Medium Rectangle 1,300 x 250,,,LIFE | Discovery | Story | Medium Rectangle 1 | 300 x 250,323049
,,,,,,,,
LIFE,Food,Section,Leaderboard,728 x 90,LIFE | Food | Section,14067,LIFE | Food | Section | Leaderboard | 728 x 90,323050
,,,Leaderboard,320 x 50,,,LIFE | Food | Section | Leaderboard | 320 x 50,323051
,,,Medium Rectangle 1,300 x 250,,,LIFE | Food | Section | Medium Rectangle 1 | 300 x 250,323052
,,,Medium Rectangle 2,300 x 250,,,LIFE | Food | Section | Medium Rectangle 2 | 300 x 250,323053
,,Story,Leaderboard,728 x 90,LIFE | Food | Story,14068,LIFE | Food | Story | Leaderboard | 728 x 90,323054
,,,Leaderboard,320 x 50,,,LIFE | Food | Story | Leaderboard | 320 x 50,323055
,,,Medium Rectangle 1,300 x 250,,,LIFE | Food | Story | Medium Rectangle 1 | 300 x 250,323056
,,,,,,,,
LIFE,Health & Fitness,Section,Leaderboard,728 x 90,LIFE | Health & Fitness | Section,14069,LIFE | Health & Fitness | Section | Leaderboard | 728 x 90,323057
,,,Leaderboard,320 x 50,,,LIFE | Health & Fitness | Section | Leaderboard | 320 x 50,323058
,,,Medium Rectangle 1,300 x 250,,,LIFE | Health & Fitness | Section | Medium Rectangle 1 | 300 x 250,323059
,,,Medium Rectangle 2,300 x 250,,,LIFE | Health & Fitness | Section | Medium Rectangle 2 | 300 x 250,323060
,,Story,Leaderboard,728 x 90,LIFE | Health & Fitness | Story,14070,LIFE | Health & Fitness | Story | Leaderboard | 728 x 90,323061
,,,Leaderboard,320 x 50,,,LIFE | Health & Fitness | Story | Leaderboard | 320 x 50,323062
,,,Medium Rectangle 1,300 x 250,,,LIFE | Health & Fitness | Story | Medium Rectangle 1 | 300 x 250,323063
,,,,,,,,
LIFE,Home & Garden,Section,Leaderboard,728 x 90,LIFE | Home & Garden | Section,14071,LIFE | Home & Garden | Section | Leaderboard | 728 x 90,323064
,,,Leaderboard,320 x 50,,,LIFE | Home & Garden | Section | Leaderboard | 320 x 50,323065
,,,Medium Rectangle 1,300 x 250,,,LIFE | Home & Garden | Section | Medium Rectangle 1 | 300 x 250,323066
,,,Medium Rectangle 2,300 x 250,,,LIFE | Home & Garden | Section | Medium Rectangle 2 | 300 x 250,323068
,,Story,Leaderboard,728 x 90,LIFE | Home & Garden | Story,14072,LIFE | Home & Garden | Story | Leaderboard | 728 x 90,323069
,,,Leaderboard,320 x 50,,,LIFE | Home & Garden | Story | Leaderboard | 320 x 50,323071
,,,Medium Rectangle 1,300 x 250,,,LIFE | Home & Garden | Story | Medium Rectangle 1 | 300 x 250,323072
,,,,,,,,
LIFE,Lifestyles,Section,Leaderboard,728 x 90,LIFE | Lifestyles | Section,14073,LIFE | Lifestyles | Section | Leaderboard | 728 x 90,323082
,,,Leaderboard,320 x 50,,,LIFE | Lifestyles | Section | Leaderboard | 320 x 50,323083
,,,Medium Rectangle 1,300 x 250,,,LIFE | Lifestyles | Section | Medium Rectangle 1 | 300 x 250,323084
,,,Medium Rectangle 2,300 x 250,,,LIFE | Lifestyles | Section | Medium Rectangle 2 | 300 x 250,323085
,,Story,Leaderboard,728 x 90,LIFE | Lifestyles | Story,14074,LIFE | Lifestyles | Story | Leaderboard | 728 x 90,323086
,,,Leaderboard,320 x 50,,,LIFE | Lifestyles | Story | Leaderboard | 320 x 50,323087
,,,Medium Rectangle 1,300 x 250,,,LIFE | Lifestyles | Story | Medium Rectangle 1 | 300 x 250,323088
,,,,,,,,
LIFE,Tastings,Section,Leaderboard,728 x 90,LIFE | Tastings | Section,14075,LIFE | Tastings | Section | Leaderboard | 728 x 90,323095
,,,Leaderboard,320 x 50,,,LIFE | Tastings | Section | Leaderboard | 320 x 50,323096
,,,Medium Rectangle 1,300 x 250,,,LIFE | Tastings | Section | Medium Rectangle 1 | 300 x 250,323097
,,,Medium Rectangle 2,300 x 250,,,LIFE | Tastings | Section | Medium Rectangle 2 | 300 x 250,323098
,,Story,Leaderboard,728 x 90,LIFE | Tastings | Story,14076,LIFE | Tastings | Story | Leaderboard | 728 x 90,323099
,,,Leaderboard,320 x 50,,,LIFE | Tastings | Story | Leaderboard | 320 x 50,323100
,,,Medium Rectangle 1,300 x 250,,,LIFE | Tastings | Story | Medium Rectangle 1 | 300 x 250,323101
