Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit Name,Ad Unit ID
NEWS,Homepage,Section,Leaderboard,728 x 90,NEWS | Homepage | Section,13785,NEWS | Homepage | Section | Leaderboard | 728 x 90,304099
,,,Leaderboard,320 x 50,,,NEWS | Homepage | Section | Leaderboard | 320 x 50,304100
,,,Medium Rectangle 1,300 x 250,,,NEWS | Homepage | Section | Medium Rectangle 1 | 300 x 250,304101
,,,Medium Rectangle 2,300 x 250,,,NEWS | Homepage | Section | Medium Rectangle 2 | 300 x 250,304102
,,Story,Leaderboard,728 x 90,NEWS | Homepage | Story,13786,NEWS | Homepage | Story | Leaderboard | 728 x 90,304103
,,,Leaderboard,320 x 50,,,NEWS | Homepage | Story | Leaderboard | 320 x 50,304104
,,,Medium Rectangle 1,300 x 250,,,NEWS | Homepage | Story | Medium Rectangle 1 | 300 x 250,304105
,,,,,,,,
NEWS,Local,Section,Leaderboard,728 x 90,NEWS | Local | Section,13787,NEWS | Local | Section | Leaderboard | 728 x 90,304106
,,,Leaderboard,320 x 50,,,NEWS | Local | Section | Leaderboard | 320 x 50,304107
,,,Medium Rectangle 1,300 x 250,,,NEWS | Local | Section | Medium Rectangle 1 | 300 x 250,304108
,,,Medium Rectangle 2,300 x 250,,,NEWS | Local | Section | Medium Rectangle 2 | 300 x 250,304109
,,Story,Leaderboard,728 x 90,NEWS | Local | Story,13788,NEWS | Local | Story | Leaderboard | 728 x 90,304110
,,,Leaderboard,320 x 50,,,NEWS | Local | Story | Leaderboard | 320 x 50,304111
,,,Medium Rectangle 1,300 x 250,,,NEWS | Local | Story | Medium Rectangle 1 | 300 x 250,304112
,,,,,,,,
NEWS,Columnist,Section,Leaderboard,728 x 90,NEWS | Columnist | Section,13789,NEWS | Columnist | Section | Leaderboard | 728 x 90,304113
,,,Leaderboard,320 x 50,,,NEWS | Columnist | Section | Leaderboard | 320 x 50,304114
,,,Medium Rectangle 1,300 x 250,,,NEWS | Columnist | Section | Medium Rectangle 1 | 300 x 250,304115
,,,Medium Rectangle 2,300 x 250,,,NEWS | Columnist | Section | Medium Rectangle 2 | 300 x 250,304116
,,Story,Leaderboard,728 x 90,NEWS | Columnist | Story,13790,NEWS | Columnist | Story | Leaderboard | 728 x 90,304117
,,,Leaderboard,320 x 50,,,NEWS | Columnist | Story | Leaderboard | 320 x 50,304119
,,,Medium Rectangle 1,300 x 250,,,NEWS | Columnist | Story | Medium Rectangle 1 | 300 x 250,304120
,,,,,,,,
NEWS,Maps,Section,Leaderboard,728 x 90,NEWS | Maps | Section,13820,NEWS | Maps | Section | Leaderboard | 728 x 90,304121
,,,Leaderboard,320 x 50,,,NEWS | Maps | Section | Leaderboard | 320 x 50,304123
,,,Medium Rectangle 1,300 x 250,,,NEWS | Maps | Section | Medium Rectangle 1 | 300 x 250,304124
,,,Medium Rectangle 2,300 x 250,,,NEWS | Maps | Section | Medium Rectangle 2 | 300 x 250,304125
,,Story,Leaderboard,728 x 90,NEWS | Maps | Story,13821,NEWS | Maps | Story | Leaderboard | 728 x 90,304126
,,,Leaderboard,320 x 50,,,NEWS | Maps | Story | Leaderboard | 320 x 50,304128
,,,Medium Rectangle 1,300 x 250,,,NEWS | Maps | Story | Medium Rectangle 1 | 300 x 250,304130
,,,,,,,,
NEWS,News Tips,Section,Leaderboard,728 x 90,NEWS | News Tips | Section,14008,NEWS | News Tips | Section | Leaderboard | 728 x 90,304131
,,,Leaderboard,320 x 50,,,NEWS | News Tips | Section | Leaderboard | 320 x 50,304132
,,,Medium Rectangle 1,300 x 250,,,NEWS | News Tips | Section | Medium Rectangle 1 | 300 x 250,304133
,,,Medium Rectangle 2,300 x 250,,,NEWS | News Tips | Section | Medium Rectangle 2 | 300 x 250,304134
,,Story,Leaderboard,728 x 90,NEWS | News Tips | Story,14010,NEWS | News Tips | Story | Leaderboard | 728 x 90,304135
