Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit Name,Ad Unit ID
,OBITUARIES,Section,Leaderboard,728 x 90,OBITUARIES | Section,14014,OBITUARIES | Section | Leaderboard | 728 x 90,304145
,,,Leaderboard,320 x 50,,,OBITUARIES | Section | Leaderboard | 320 x 50,304156
,,,Medium Rectangle 1,300 x 250,,,OBITUARIES | Section | Medium Rectangle 1 | 300 x 250,304147
,,,Medium Rectangle 2,300 x 250,,,OBITUARIES | Section | Medium Rectangle 2 | 300 x 250,304148
,,Story,Leaderboard,728 x 90,OBITUARIES | Story,14015,OBITUARIES | Story | Leaderboard | 728 x 90,304149
,,,Leaderboard,320 x 50,,,OBITUARIES | Story | Leaderboard | 320 x 50,304150
,,,Medium Rectangle 1,300 x 250,,,OBITUARIES | Story | Medium Rectangle 1 | 300 x 250,304151
,,,,,,,,
OBITUARIES,Family Tributes,Section,Leaderboard,728 x 90,OBITUARIES | Family Tributes | Section,14079,OBITUARIES | Family Tributes | Section | Leaderboard | 728 x 90,323130
,,,Leaderboard,320 x 50,,,OBITUARIES | Family Tributes | Section | Leaderboard | 320 x 50,323131
,,,Medium Rectangle 1,300 x 250,,,OBITUARIES | Family Tributes | Section | Medium Rectangle 1 | 300 x 250,323132
,,,Medium Rectangle 2,300 x 250,,,OBITUARIES | Family Tributes | Section | Medium Rectangle 2 | 300 x 250,323133
,,Story,Leaderboard,728 x 90,OBITUARIES | Family Tributes | Story,14080,OBITUARIES | Family Tributes | Story | Leaderboard | 728 x 90,323134
,,,Leaderboard,320 x 50,,,OBITUARIES | Family Tributes | Story | Leaderboard | 320 x 50,323135
,,,Medium Rectangle 1,300 x 250,,,OBITUARIES | Family Tributes | Story | Medium Rectangle 1 | 300 x 250,323136
