Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit,Ad Unit ID
,SPORTS,Section,Leaderboard,728 x 90,SPORTS | SPORTS | Section,13732,SPORTS | SPORTS | Section | Leaderboard | 728 x 90,302400
,,,Leaderboard,320 x 50,,,SPORTS | SPORTS | Section | Leaderboard | 320 x 50,302401
,,,Medium Rectangle 1,300 x 250,,,SPORTS | SPORTS | Section | Medium Rectangle 1 | 300 x 250,302402
,,,Medium Rectangle 2,300 x 250,,,SPORTS | SPORTS | Section | Medium Rectangle 2 | 300 x 250,302403
,,Story,Leaderboard,728 x 90,SPORTS | SPORTS | Story,13791,SPORTS | SPORTS | Story | Leaderboard | 728 x 90,302404
,,,Leaderboard,320 x 50,,,SPORTS | SPORTS | Story | Leaderboard | 320 x 50,302405
,,,Medium Rectangle 1,300 x 250,,,SPORTS | SPORTS | Story | Medium Rectangle 1 | 300 x 250,302406
,,,,,,,,
SPORTS,Local,Section,Leaderboard,728 x 90,SPORTS | Local | Section,13733,SPORTS | Local | Section | Leaderboard | 728 x 90,302407
,,,Leaderboard,320 x 50,,,SPORTS | Local | Section | Leaderboard | 320 x 50,302408
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Local | Section | Medium Rectangle 1 | 300 x 250,302409
,,,Medium Rectangle 2,300 x 250,,,SPORTS | Local | Section | Medium Rectangle 2 | 300 x 250,302410
,,Story,Leaderboard,728 x 90,SPORTS | Local | Story,13792,SPORTS | Local | Story | Leaderboard | 728 x 90,302411
,,,Leaderboard,320 x 50,,,SPORTS | Local | Story | Leaderboard | 320 x 50,302412
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Local | Story | Medium Rectangle 1 | 300 x 250,302413
,,,,,,,,
SPORTS,Columnist,Section,Leaderboard,728 x 90,SPORTS | Columnist | Section,13734,SPORTS | Columnist | Section | Leaderboard | 728 x 90,302414
,,,Leaderboard,320 x 50,,,SPORTS | Columnist | Section | Leaderboard | 320 x 50,302415
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Columnist | Section | Medium Rectangle 1 | 300 x 250,302416
,,,Medium Rectangle 2,300 x 250,,,SPORTS | Columnist | Section | Medium Rectangle 2 | 300 x 250,302417
,,Story,Leaderboard,728 x 90,SPORTS | Columnist | Story,13793,SPORTS | Columnist | Story | Leaderboard | 728 x 90,302418
,,,Leaderboard,320 x 50,,,SPORTS | Columnist | Story | Leaderboard | 320 x 50,302419
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Columnist | Story | Medium Rectangle 1 | 300 x 250,302420
,,,,,,,,
SPORTS,Basketball,Section,Leaderboard,728 x 90,SPORTS | Basketball | Section,13735,SPORTS | Basketball | Section | Leaderboard | 728 x 90,302421
,,,Leaderboard,320 x 50,,,SPORTS | Basketball | Section | Leaderboard | 320 x 50,302422
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Basketball | Section | Medium Rectangle 1 | 300 x 250,302423
,,,Medium Rectangle 2,300 x 250,,,SPORTS | Basketball | Section | Medium Rectangle 2 | 300 x 250,302424
,,Story,Leaderboard,728 x 90,SPORTS | Basketball | Story,13794,SPORTS | Basketball | Story | Leaderboard | 728 x 90,302425
,,,Leaderboard,320 x 50,,,SPORTS | Basketball | Story | Leaderboard | 320 x 50,302426
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Basketball | Story | Medium Rectangle 1 | 300 x 250,302427
,,,,,,,,
